127.0.0.1 - - [03/Mar/2018:22:17:17 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Mar/2018:22:28:19 +0800] "GET /bigger/user/login HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [03/Mar/2018:22:28:25 +0800] "POST /bigger/user/login HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [03/Mar/2018:22:28:35 +0800] "POST /bigger/home/getdata HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [03/Mar/2018:22:28:35 +0800] "POST /bigger/home/getpercent HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [03/Mar/2018:22:28:35 +0800] "POST /bigger/home/getprofit HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [03/Mar/2018:22:28:35 +0800] "POST /bigger/notice/getAllNotice HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [03/Mar/2018:22:28:35 +0800] "POST /bigger/att/getall HTTP/1.1" 200 796
0:0:0:0:0:0:0:1 - - [03/Mar/2018:22:40:42 +0800] "POST /bigger/user/logout HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [03/Mar/2018:22:40:43 +0800] "GET /bigger/home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2018:22:40:43 +0800] "GET /bigger/user/login HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [03/Mar/2018:22:40:43 +0800] "GET /bigger/i/favicon.png HTTP/1.1" 200 552592
0:0:0:0:0:0:0:1 - - [03/Mar/2018:22:40:48 +0800] "POST /bigger/user/login HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [03/Mar/2018:22:40:49 +0800] "GET /bigger/home HTTP/1.1" 200 20005
0:0:0:0:0:0:0:1 - - [03/Mar/2018:22:40:50 +0800] "POST /bigger/home/getpercent HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [03/Mar/2018:22:40:50 +0800] "POST /bigger/home/getdata HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [03/Mar/2018:22:40:50 +0800] "POST /bigger/home/getprofit HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [03/Mar/2018:22:40:50 +0800] "POST /bigger/notice/getAllNotice HTTP/1.1" 200 737
